doc_ids,doc_names,ID,business_name,problem_type,subcategories,subcategories_old,,doc_ids,
85d0ea6b-08ac-4fbf-ace2-1172cb55477b,General solution for Dart Insurance - Obtain Car Insurance Quotes,15,Dart insurance,Obtain car insurance quotes,Insurance Inquiry,Mortgage/ Loan Inquiry,FALSE,85d0ea6b-08ac-4fbf-ace2-1172cb55477b,TRUE
4632c6c2-1fb7-4448-b57a-e02004907693,Contact Information and Authentication for Dart Insurance - Obtain Car Insurance Quotes,16,Dart insurance,Obtain car insurance quotes,Insurance Inquiry,Bill Negotiation,FALSE,4632c6c2-1fb7-4448-b57a-e02004907693,TRUE
e9ba390e-ddd2-4ef1-b02a-a65041973cfe,General solution for AT&T Internet - Bill Reduction Negotiation,17,At&t internet,Bill reduction negotiation,Bill Negotiation,Bill Negotiation,TRUE,e9ba390e-ddd2-4ef1-b02a-a65041973cfe,TRUE
bf11d9be-490e-4c48-a461-3b986ba3829f,General solution for Canadian Appliance Source - refund for duplicate delivery charge,18,Canadian appliance source,Refund for duplicate delivery charge,Refund/Compensation,Bill Negotiation,FALSE,bf11d9be-490e-4c48-a461-3b986ba3829f,TRUE
7bb4caab-3da5-4483-80b4-e63948b3e5ea,Contact Information and Authentication for Canadian Appliance Source - refund for duplicate delivery charge,19,Canadian appliance source,Refund for duplicate delivery charge,Refund/Compensation,Bill Negotiation,FALSE,7bb4caab-3da5-4483-80b4-e63948b3e5ea,TRUE
886a5b83-8d0e-44ca-a4ce-976df2b3b1e1,General solution for Canadian Appliance Source - Negotiation for higher property damage compensation,20,Canadian appliance source,Negotiation for higher property damage compensation,Refund/Compensation,Bill Negotiation,FALSE,886a5b83-8d0e-44ca-a4ce-976df2b3b1e1,TRUE
091eac67-80fa-4f3a-a29d-da5085282ce7,Contact Information and Authentication for Canadian Appliance Source - Negotiation for higher property damage compensation,21,Canadian appliance source,Negotiation for higher property damage compensation,Refund/Compensation,Bill Negotiation,FALSE,091eac67-80fa-4f3a-a29d-da5085282ce7,TRUE
9cbe2453-4101-42f4-ac4c-da7eb0d68049,General solution for Chase Bank - Credit report dispute - Incorrect late payment,22,Chase bank - credit report dispute,Incorrect late payment,Complaints,Bill Negotiation,FALSE,9cbe2453-4101-42f4-ac4c-da7eb0d68049,TRUE
3deae025-d019-4fb5-b326-4e8a6595b2e0,Contact Information and Authentication for Chase Bank - Credit report dispute - Incorrect late payment,23,Chase bank - credit report dispute,Incorrect late payment,Complaints,Bill Negotiation,FALSE,3deae025-d019-4fb5-b326-4e8a6595b2e0,TRUE
93ca7a74-8cc4-4421-951e-dc208b8affe7,Contact Information and Authentication for Kepler's Books - In-Store Book Availability Inquiry,24,Kepler's books,In-store book availability inquiry,Inventory Inquiry,Reservation,FALSE,93ca7a74-8cc4-4421-951e-dc208b8affe7,TRUE
c44bb3db-7af9-4552-9f2a-bc09326d55a0,Contact Information and Authentication for Bell's Books - Book Availability Inquiry,25,Bell's books,Book availability inquiry,Inventory Inquiry,Reservation,FALSE,c44bb3db-7af9-4552-9f2a-bc09326d55a0,TRUE
44ec0551-9c41-425c-b10e-40cbc7c862fd,"General solution for Books Inc., Bell's Books, and Kepler's Books - In-store Book Availability Inquiry",26,"Books inc., bell's books, and kepler's books",In-store book availability inquiry,Inventory Inquiry,Reservation,FALSE,44ec0551-9c41-425c-b10e-40cbc7c862fd,TRUE
bbb31be7-75dc-48b6-aa1d-122dc632ac50,Contact Information and Authentication for Books Inc. - checking book availability,27,Books inc.,Checking book availability,Inventory Inquiry,Reservation,FALSE,bbb31be7-75dc-48b6-aa1d-122dc632ac50,TRUE
4e5a0986-6022-47a5-aff2-23b1171acf1a,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,28,Giant pharmacy,Prescription fulfillment,Medical Service,Medical Service,TRUE,4e5a0986-6022-47a5-aff2-23b1171acf1a,TRUE
2307dae2-5507-4fa5-bb7e-1d9f16efc6ab,General solution for Express Employment Professionals - appointment booking,29,Express employment professionals,Appointment booking,Reservation (General),Reservation,FALSE,2307dae2-5507-4fa5-bb7e-1d9f16efc6ab,TRUE
ee3eefe2-8734-4099-abfc-85654e87f945,Contact Information and Authentication for Express Employment Professionals - Appointment Booking,30,Express employment professionals,Appointment booking,Reservation (General),Reservation,FALSE,ee3eefe2-8734-4099-abfc-85654e87f945,TRUE
1f42c30c-9a14-4ff9-9c0f-5f5e0e1a7c76,General solution for Giant Pharmacy - prescription fill request (out-of-pocket),31,Giant pharmacy,Prescription fill request (out-of-pocket),Medical Service,Medical Service,TRUE,1f42c30c-9a14-4ff9-9c0f-5f5e0e1a7c76,TRUE
10e88b41-0d66-48eb-85c5-6ed57693b8e2,Contact Information and Authentication for Giant Pharmacy - Prescription Fill Request (Out-of-Pocket),32,Giant pharmacy,Prescription fill request (out-of-pocket),Medical Service,Medical Service,TRUE,10e88b41-0d66-48eb-85c5-6ed57693b8e2,TRUE
40a6dee1-dcf3-4749-898c-26424b1b81d7,Contact Information and Authentication for ShinyPet - Pricing and Competitive Analysis,33,Shinypet,Pricing and competitive analysis,Bill Negotiation,Bill Negotiation,FALSE,40a6dee1-dcf3-4749-898c-26424b1b81d7,TRUE
380c661d-b4c3-4902-9266-46efc09d85f7,General solution for Giant Pharmacy - Prescription Fulfillment,34,Giant pharmacy,Prescription fulfillment,Medical Service,Medical Service,TRUE,380c661d-b4c3-4902-9266-46efc09d85f7,TRUE
ec34bd2d-5c85-4627-8aa6-fd37d58c0d94,Contact Information and Authentication for Giant Pharmacy - Prescription Status Check,35,Giant pharmacy,Prescription status check,Medical Service,Medical Service,TRUE,ec34bd2d-5c85-4627-8aa6-fd37d58c0d94,TRUE
e4835540-c0c1-4cf8-9d6d-88dae8cfcd6e,General solution for Petco - LED leash price and feature comparison,36,Petco,Led leash price and feature comparison,Inventory Inquiry,Technical Support,FALSE,e4835540-c0c1-4cf8-9d6d-88dae8cfcd6e,TRUE
3e40cf6e-d325-4484-8c2a-3351844fc260,Contact Information and Authentication for Petco - LED leash price and feature comparison,37,Petco,Led leash price and feature comparison,Inventory Inquiry,Technical Support,FALSE,3e40cf6e-d325-4484-8c2a-3351844fc260,TRUE
fd2c2fb0-7bfa-40b0-a5f8-fc431047a0eb,General solution for Altafiber - Bill Negotiation,38,Altafiber,Bill negotiation,Bill Negotiation,Bill Negotiation,TRUE,fd2c2fb0-7bfa-40b0-a5f8-fc431047a0eb,TRUE
619ea271-fc03-4202-8956-7c7580366f73,Contact Information and Authentication for Altafiber - Bill Negotiation,39,Altafiber,Bill negotiation,Bill Negotiation,Bill Negotiation,TRUE,619ea271-fc03-4202-8956-7c7580366f73,TRUE
94485f1c-44b5-467d-b3a5-d969aba39f5c,General solution for West Coast Self-Storage Santa Clara - Rate Negotiation,40,West coast self-storage santa clara,Rate negotiation,Bill Negotiation,Bill Negotiation,TRUE,94485f1c-44b5-467d-b3a5-d969aba39f5c,TRUE
4a846754-e244-41f7-8b25-6e16b5a03f9f,Contact Information and Authentication for West Coast Self-Storage Santa Clara - rate negotiation,41,West coast self-storage santa clara,Rate negotiation,Bill Negotiation,Bill Negotiation,TRUE,4a846754-e244-41f7-8b25-6e16b5a03f9f,TRUE
dbd92d4f-9f72-4ddd-978d-4cd8a3a8e490,General solution for Click Free Source - Subscription Cancellation with Login Issues,42,Click free source,Subscription cancellation with login issues,Subscription Cancellation,Subscription Cancellation,TRUE,dbd92d4f-9f72-4ddd-978d-4cd8a3a8e490,TRUE
36d4ab8c-8e82-4954-9598-4dcc2d5f97b0,General solution for QuickBooks - subscription price negotiation,43,Quickbooks,Subscription price negotiation,Bill Negotiation,Bill Negotiation,TRUE,36d4ab8c-8e82-4954-9598-4dcc2d5f97b0,TRUE
a2d2cd01-25bd-4aa3-b1ec-b55282efe994,Contact Information and Authentication for QuickBooks - Subscription Price Negotiation,44,Quickbooks,Subscription price negotiation,Bill Negotiation,Bill Negotiation,TRUE,a2d2cd01-25bd-4aa3-b1ec-b55282efe994,TRUE
219ae627-6f54-4452-a11b-e582c4b60884,General solution for Cinemark Century Oakridge 20 XD and ScreenX - movie ticket pricing inquiry,45,Cinemark century oakridge 20 xd and screenx,Movie ticket pricing inquiry,Reservation (General),Reservation,FALSE,219ae627-6f54-4452-a11b-e582c4b60884,TRUE
eb530183-e873-4eb4-b66d-6929ce2b8f99,Contact Information and Authentication for Cinemark Century Oakridge 20 XD and ScreenX - movie ticket pricing inquiry,46,Cinemark century oakridge 20 xd and screenx,Movie ticket pricing inquiry,Reservation (General),Reservation,FALSE,eb530183-e873-4eb4-b66d-6929ce2b8f99,TRUE
2b6cf2de-5dee-4e98-bdf2-9d08cf1e8420,Contact Information and Authentication for Xfinity - bill negotiation,47,Xfinity,Bill negotiation,Bill Negotiation,Bill Negotiation,TRUE,2b6cf2de-5dee-4e98-bdf2-9d08cf1e8420,TRUE
0998d1f4-f1f1-4eed-b98f-12377d9e0503,Contact Information and Authentication for Freedom Pool Services - Inquiry for Pool Cleaning Service,48,Freedom pool services,Inquiry for pool cleaning service,Reservation (General),Reservation,FALSE,0998d1f4-f1f1-4eed-b98f-12377d9e0503,TRUE
0e1ccefc-2295-4b42-8918-74bc1091f67c,General solution for Mandai Executive Public Golf Course - Golf Tee Time Booking,49,Mandai executive public golf course,Golf tee time booking,Reservation (General),Reservation,FALSE,0e1ccefc-2295-4b42-8918-74bc1091f67c,TRUE
93e9c9c1-dd51-4e2d-b38d-292ab40963c7,Contact Information and Authentication for Mandai Executive Public Golf Course - Golf Tee Time Booking,50,Mandai executive public golf course,Golf tee time booking,Reservation (General),Reservation,FALSE,93e9c9c1-dd51-4e2d-b38d-292ab40963c7,TRUE
159e242e-24fa-4f26-965f-51eb147bb2cb,General solution for Verizon - Billing Dispute,51,Verizon,Billing dispute,Bill Negotiation,Bill Negotiation,TRUE,159e242e-24fa-4f26-965f-51eb147bb2cb,TRUE
44a2e682-2f91-4993-9b38-2b7857c4897b,Contact Information and Authentication for Verizon - Billing Dispute,52,Verizon,Billing dispute,Bill Negotiation,Bill Negotiation,TRUE,44a2e682-2f91-4993-9b38-2b7857c4897b,TRUE
d54783a1-3ba1-40eb-aee5-b7da7efe237b,Contact Information and Authentication for Freehand Los Angeles - Hotel Booking Inquiry,53,Freehand los angeles,Hotel booking inquiry,Reservation (Flight/Hotel/Car),Reservation,FALSE,d54783a1-3ba1-40eb-aee5-b7da7efe237b,TRUE
31d3226f-193b-44a8-9c35-ce552ee887cd,General solution for Freehand Los Angeles - hotel booking details inquiry,54,Freehand los angeles,Hotel booking details inquiry,Reservation (Flight/Hotel/Car),Reservation,FALSE,31d3226f-193b-44a8-9c35-ce552ee887cd,TRUE
8bd4fe18-439e-45f9-a821-78bf1c43d259,"Contact Information and Authentication for The STRAT Hotel, Casino & Tower - Checking hotel availability",55,"The strat hotel, casino & tower",Checking hotel availability,Reservation (Flight/Hotel/Car),Reservation,FALSE,8bd4fe18-439e-45f9-a821-78bf1c43d259,TRUE
96b8d6da-3c09-4e8b-a54e-bb3da7c8b436,General solution for AT&T - Internet Connectivity Complaint,56,At&t,Internet connectivity complaint,Technical Support,Technical Support,TRUE,96b8d6da-3c09-4e8b-a54e-bb3da7c8b436,TRUE
2a85f8d8-d76c-4f8f-adfa-ab83a9c04c1a,Contact Information and Authentication for AT&T - Internet Connectivity Complaint,57,At&t,Internet connectivity complaint,Technical Support,Technical Support,TRUE,2a85f8d8-d76c-4f8f-adfa-ab83a9c04c1a,TRUE
fd32e36d-ffe2-4e64-8930-e98f4e11865a,Contact Information and Authentication for Verizon - Bill Lowering,58,Verizon,Bill lowering,Bill Negotiation,Bill Negotiation,TRUE,fd32e36d-ffe2-4e64-8930-e98f4e11865a,TRUE
b4882d8f-fb14-41b8-8f29-5237ea4133d5,Contact Information and Authentication for Verizon - Billing Dispute,59,Verizon,Billing dispute,Bill Negotiation,Bill Negotiation,TRUE,b4882d8f-fb14-41b8-8f29-5237ea4133d5,TRUE
17404e6c-75a3-44d7-865c-71324c8441bb,General solution for Verizon - Change Device Insurance,60,Verizon,Change device insurance,Account Information Update,Account Update,FALSE,17404e6c-75a3-44d7-865c-71324c8441bb,TRUE
5bbae25b-788f-44d3-bb8c-e0d727fa62f3,Contact Information and Authentication for Verizon - Change Device Insurance,61,Verizon,Change device insurance,Insurance Inquiry,Account Update,FALSE,5bbae25b-788f-44d3-bb8c-e0d727fa62f3,TRUE
0b8da5b7-964a-467f-ae14-a00c95fa9d52,General solution for W Hotel Boston - Reservation Room Change,62,W hotel boston,Reservation room change,Reservation (Flight/Hotel/Car),Reservation,FALSE,0b8da5b7-964a-467f-ae14-a00c95fa9d52,TRUE
b6813093-6980-4579-887e-235a1eca2ae4,Contact Information and Authentication for W Hotel Boston - Reservation Room Change,63,W hotel boston,Reservation room change,Reservation (Flight/Hotel/Car),Reservation,FALSE,b6813093-6980-4579-887e-235a1eca2ae4,TRUE
e1699571-b4b3-454a-a92f-b07788d897eb,General solution for AT&T - Bill Negotiation,64,At&t,Bill negotiation,Bill Negotiation,Bill Negotiation,TRUE,e1699571-b4b3-454a-a92f-b07788d897eb,TRUE
8e07eef9-be6f-466d-962e-e616c90531f2,General solution for Hidden Castle Golf Club @ River Valley - Booking a Golf Tee Time,65,Hidden castle golf club @ river valley,Booking a golf tee time,Reservation (General),Reservation,FALSE,8e07eef9-be6f-466d-962e-e616c90531f2,TRUE
a909ede5-d57d-422c-b8ef-cee991538e7e,Contact Information and Authentication for Hidden Castle Golf Club @ River Valley - booking a golf tee time,66,Hidden castle golf club @ river valley,Booking a golf tee time,Reservation (General),Reservation,FALSE,a909ede5-d57d-422c-b8ef-cee991538e7e,TRUE
6aa6ae8d-a090-4a93-8a11-3d09aa054f97,Contact Information and Authentication for Ray White Ballarat - Difficulty contacting real estate agents for off-market properties,67,Ray white ballarat,Difficulty contacting real estate agents for off-market properties,Housing Support,Housing support,TRUE,6aa6ae8d-a090-4a93-8a11-3d09aa054f97,TRUE
077658fd-9e44-47ea-b0a6-8beefd05ca74,General solution for Ballarat Real Estate and Jellis Craig Ballarat and PRD Ballarat and The Estate Agent Ballarat and Buxton Ballarat and Ray White Ballarat - Difficulty contacting real estate agents for off-market properties,68,Ballarat real estate and jellis craig ballarat and prd ballarat and the estate agent ballarat and buxton ballarat and ray white ballarat,Difficulty contacting real estate agents for off-market properties,Housing Support,Housing support,TRUE,077658fd-9e44-47ea-b0a6-8beefd05ca74,TRUE
ce845676-bba5-47d2-bfcf-bb4f74c98d04,Contact Information and Authentication for Ballarat Real Estate - difficulty contacting real estate agents,69,Ballarat real estate,Difficulty contacting real estate agents,Housing Support,Housing support,TRUE,ce845676-bba5-47d2-bfcf-bb4f74c98d04,TRUE
3be2e297-5a68-41c2-b380-1881719e9e09,General solution for Off Market Property Co and Ballarat Real Estate - off-market property inquiry,70,Off market property co and ballarat real estate,Off-market property inquiry,Housing Support,Housing support,TRUE,3be2e297-5a68-41c2-b380-1881719e9e09,TRUE
c8d03e92-2468-434b-93fe-aba4ef8b2d4d,Contact Information and Authentication for Ballarat Real Estate - Off-Market Property Inquiry,71,Ballarat real estate,Off-market property inquiry,Housing Support,Mortgage/ Loan Inquiry,FALSE,c8d03e92-2468-434b-93fe-aba4ef8b2d4d,TRUE
969b5704-7624-4c5c-95de-da7985b29399,Contact Information and Authentication for American Airlines - Flight Delay Compensation,72,American airlines,Flight delay compensation,Refund/Compensation,Bill Negotiation,FALSE,969b5704-7624-4c5c-95de-da7985b29399,TRUE
a09df3b7-009b-4777-ac62-6326da84badc,General solution for American Airlines - flight delay compensation,73,American airlines,Flight delay compensation,Refund/Compensation,Flight Delay Compensation,FALSE,a09df3b7-009b-4777-ac62-6326da84badc,TRUE
ad80151d-9da2-42e6-8750-2b05bdf2e1d2,Contact Information and Authentication for Los Angeles Spa or Salon - booking appointment,74,Los angeles spa or salon,Booking appointment,Reservation (General),Reservation,FALSE,ad80151d-9da2-42e6-8750-2b05bdf2e1d2,TRUE
8d629f6c-303a-42c4-b0d3-6fbb120f8875,Contact Information and Authentication for Unknown Spa or Salon - Service Appointment Booking,75,Unknown spa or salon,Service appointment booking,Reservation (General),Reservation,FALSE,8d629f6c-303a-42c4-b0d3-6fbb120f8875,TRUE
8b509aaf-844c-4368-8927-17300ff23d6d,Contact Information and Authentication for Massage Spa - booking a massage appointment,76,Massage spa,Booking a massage appointment,Reservation (General),Reservation,FALSE,8b509aaf-844c-4368-8927-17300ff23d6d,TRUE
e43d963e-ac51-4150-9c53-a7deda4ad769,General solution for Factor Meals - subscription cancellation,77,Factor meals,Subscription cancellation,Subscription Cancellation,Subscription Cancellation,TRUE,e43d963e-ac51-4150-9c53-a7deda4ad769,TRUE
b9e510ee-dfc4-435f-ad42-b268da438774,Contact Information and Authentication for Factor Meals - Subscription Cancellation,78,Factor meals,Subscription cancellation,Subscription Cancellation,Subscription Cancellation,TRUE,b9e510ee-dfc4-435f-ad42-b268da438774,TRUE
bba76546-0506-45e8-9dc6-e567e1131ae6,General solution for Eliteam Financial Strategies - Appointment Scheduling,79,Eliteam financial strategies,Appointment scheduling,Reservation (General),Reservation,FALSE,bba76546-0506-45e8-9dc6-e567e1131ae6,TRUE
4b659b3e-1edf-42a9-a991-c8b82c58fc35,Contact Information and Authentication for Eliteam Financial Strategies - scheduling financial consultation appointments,80,Eliteam financial strategies,Scheduling financial consultation appointments,Reservation (General),Reservation,FALSE,4b659b3e-1edf-42a9-a991-c8b82c58fc35,TRUE
52e3dca2-1c60-4e89-9c64-44168e4630da,General solution for Green Ginger - pickup order placement failure,81,Green ginger,Pickup order placement failure,Inventory Inquiry,Technical Support,FALSE,52e3dca2-1c60-4e89-9c64-44168e4630da,TRUE
7e350a8d-693e-4369-b7f5-1e1156e5b587,Contact Information and Authentication for Green Ginger - Pickup Food Order,82,Green ginger,Pickup food order,Reservation (General),Reservation,FALSE,7e350a8d-693e-4369-b7f5-1e1156e5b587,TRUE
cc77b33d-89bf-4f49-98eb-1fbf5d01a1a6,General solution for AT&T - Bill Lowering Negotiation,83,At&t,Bill lowering negotiation,Bill Negotiation,Bill Negotiation,TRUE,cc77b33d-89bf-4f49-98eb-1fbf5d01a1a6,TRUE
4211d1cb-5d28-458b-94c3-d306f10114c0,Contact Information and Authentication for AT&T Internet - Bill Reduction Negotiation,84,At&t internet,Bill reduction negotiation,Bill Negotiation,Bill Negotiation,TRUE,4211d1cb-5d28-458b-94c3-d306f10114c0,TRUE
23955cb8-ab05-4eec-a238-f038029aafe7,General solution for Rogers - wireless bill lowering negotiation,85,Rogers,Wireless bill lowering negotiation,Bill Negotiation,Bill Negotiation,TRUE,23955cb8-ab05-4eec-a238-f038029aafe7,TRUE
0eb31903-87cb-4345-bc52-7bd2c72b0cae,Contact Information and Authentication for Rogers - Wireless Bill Lowering Negotiation,86,Rogers,Wireless bill lowering negotiation,Bill Negotiation,Bill Negotiation,TRUE,0eb31903-87cb-4345-bc52-7bd2c72b0cae,TRUE
ab61996b-032f-40ce-a75d-3dc80699bc94,General solution for Delta Hotels by Marriott Winnipeg - request hotel bill copy,87,Delta hotels by marriott winnipeg,Request hotel bill copy,Reservation (Flight/Hotel/Car),Bill Negotiation,FALSE,ab61996b-032f-40ce-a75d-3dc80699bc94,TRUE
fd3f7fa6-dcde-4d83-ab2d-be83ed127607,Contact Information and Authentication for Delta Hotels by Marriott Winnipeg - Request Hotel Bill Copy,88,Delta hotels by marriott winnipeg,Request hotel bill copy,Reservation (Flight/Hotel/Car),Bill Negotiation,FALSE,fd3f7fa6-dcde-4d83-ab2d-be83ed127607,TRUE
16bd3cbd-80aa-4545-adc4-02946363a12d,General solution for Independent Gutter Cleaning Contractor - Subscription Cancellation,89,Independent gutter cleaning contractor,Subscription cancellation,Subscription Cancellation,Subscription Cancellation,TRUE,16bd3cbd-80aa-4545-adc4-02946363a12d,TRUE
8cdb2782-4962-4e5d-846d-b33332077a84,Contact Information and Authentication for Click Free Source - Subscription Cancellation with Login Issues,90,Click free source,Subscription cancellation with login issues,Subscription Cancellation,Technical Support,FALSE,8cdb2782-4962-4e5d-846d-b33332077a84,TRUE
98558ef2-a24e-48b2-814e-a42ad2c0c849,General solution for Landscaping Service - service cancellation due to vacation,91,Landscaping service,Service cancellation due to vacation,Subscription Cancellation,Subscription Cancellation,TRUE,98558ef2-a24e-48b2-814e-a42ad2c0c849,TRUE
f80d3eda-c09f-4814-ba5f-18c0cc0fa0ec,Contact Information and Authentication for Landscaping Service - Service Cancellation Due to Vacation,92,Landscaping service,Service cancellation due to vacation,Subscription Cancellation,Subscription Cancellation,TRUE,f80d3eda-c09f-4814-ba5f-18c0cc0fa0ec,TRUE
06d38acc-630e-4ce6-a595-e3a41f3b4a91,Contact Information and Authentication for AT&T - Lower Wireless Bill,93,At&t,Lower wireless bill,Bill Negotiation,Bill Negotiation,TRUE,06d38acc-630e-4ce6-a595-e3a41f3b4a91,TRUE
b3b39fd1-3ded-4236-953e-f84d359d5e20,General solution for Binny's Beverage Depot - Lincoln Park - Product Availability Inquiry,94,Binny's beverage depot - lincoln park,Product availability inquiry,Inventory Inquiry,Product Availability Inquiry,FALSE,b3b39fd1-3ded-4236-953e-f84d359d5e20,TRUE
a7bb1978-73de-4d88-a8a1-287725032fd2,Contact Information and Authentication for Binny's Beverage Depot - Lincoln Park - Availability Inquiry Failure,95,Binny's beverage depot - lincoln park,Availability inquiry failure,Inventory Inquiry,Technical Support,FALSE,a7bb1978-73de-4d88-a8a1-287725032fd2,TRUE
69a85947-eaef-46e3-93a2-ea63914c3428,General solution for Sandy Co. - failed phone call for business hours,96,Sandy co.,Failed phone call for business hours,Technical Support,Technical Support,TRUE,69a85947-eaef-46e3-93a2-ea63914c3428,TRUE
aa4f0001-fd63-4eed-9098-48d4b93a2ca5,Contact Information and Authentication for Sandy Co. - failed phone call for business hours,97,Sandy co.,Failed phone call for business hours,Technical Support,Technical Support,TRUE,aa4f0001-fd63-4eed-9098-48d4b93a2ca5,TRUE
b9ae918b-ebfd-4ea0-9e1e-c712d8f12d32,General solution for Bub City - restaurant reservation,98,Bub city,Restaurant reservation,Reservation (General),Reservation,FALSE,b9ae918b-ebfd-4ea0-9e1e-c712d8f12d32,TRUE
2a579807-7789-45cb-b66b-f903b93ff0f2,Contact Information and Authentication for Bub City - Restaurant Reservation,99,Bub city,Restaurant reservation,Reservation (General),Reservation,FALSE,2a579807-7789-45cb-b66b-f903b93ff0f2,TRUE
1f466934-27ba-42f0-a12a-6623e7964833,General solution for Gary's Wine & Marketplace (Bernardsville) - Store Hours Inquiry,100,Gary's wine & marketplace (bernardsville),Store hours inquiry,Inventory Inquiry,Reservation,FALSE,1f466934-27ba-42f0-a12a-6623e7964833,TRUE
972ef258-d8a9-46a5-a31a-644c4466fd2e,Contact Information and Authentication for Gary's Wine & Marketplace (Bernardsville) - store hours inquiry,101,Gary's wine & marketplace (bernardsville),Store hours inquiry,Inventory Inquiry,Reservation,FALSE,972ef258-d8a9-46a5-a31a-644c4466fd2e,TRUE
38c94532-f8b1-4ca6-bfeb-dc973df79de4,General solution for Stamps.com - refund request for wrong stamps,102,Stamps.com,Refund request for wrong stamps,Refund/Compensation,Refund Request,FALSE,38c94532-f8b1-4ca6-bfeb-dc973df79de4,TRUE
71d83790-7052-4172-89a4-bbe715c1e92f,Contact Information and Authentication for Stamps.com - Refund Request for Wrong Stamps,103,Stamps.com,Refund request for wrong stamps,Refund/Compensation,Refund Request,FALSE,71d83790-7052-4172-89a4-bbe715c1e92f,TRUE
4d6335c5-7c7a-435b-93be-08dfb4191649,General solution for Nordstrom - gift sender identification,104,Nordstrom,Gift sender identification,Inventory Inquiry,Technical Support,FALSE,4d6335c5-7c7a-435b-93be-08dfb4191649,TRUE
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,Technical Support,FALSE,9e56faf7-f690-4dee-a5ca-dcb087834ebf,TRUE
